なし,
●味方スキル,スレイヤースキル１
斬撃,低CT、単体、中命中、低威力
薙ぎ払い,低CT、前３体 低命中　低威力
スマッシュ,中CT　単体 中命中　中威力　スタン
ラッシュブレード,中CT、単体5HIT、低命中　低威力
両断剣,大CT、単体 高命中　高威力　防御貫通(50%)
戦意高揚,低CT　自分 攻防20%バフ 100T
スレイヤー７,スレイヤースキル１
スレイヤー８,スレイヤースキル１
打撃,単体、低命中、中威力
タウント,自身に挑発付与、防御/抵抗バフ 150T
スマイト,単体中命中、中威力、魔法攻撃
キュア,味方単体、HP小回復
シールドバッシュ,単体、高命中、中威力、防御低下デバフ 200T
ディバインガード,味方全体にバリア
ガーディアン７,スレイヤースキル１
ガーディアン８,スレイヤースキル１
レッグスナイプ,単体、低命中、低威力　回避低下デバフ
疾風の矢,単体、高命中、低威力
五月雨の矢,全体、低命中、中威力
狙撃,HP少ない敵、中命中、中威力
弾幕,全体ランダム連続攻撃、低命中、低威力
獲物の印,HPが少ない敵、挑発付与、受ダメデバフ
デッドアイ7,スレイヤースキル１
デッドアイ8,スレイヤースキル１
火弾,単体、高命中、低威力
招雷,敵ランダム単体、低命中、中威力
氷刃,敵全体、中命中、小威力
電竜,敵ランダム、中命中、高威力
爆火山,敵ランダム５発、高命中、低威力
瞑想,自分、INTバフ、シールド付与
エレメンタリスト7,スレイヤースキル１
エレメンタリスト8,スレイヤースキル１
ビーム,単体、高命中、低威力、魔法
ヒーリング,味方単体、HP小回復
クロス,単体、高命中、低威力　２回攻撃
オールヒール,味方全体、回復小
リザレクション,味方単体、回復大、気絶回復
ディスアームズ,単体、必中、威力低、攻撃デバフ
メディック7,スレイヤースキル１
メディック8,スレイヤースキル１
オカルティスト1,スレイヤースキル１
オカルティスト2,スレイヤースキル１
オカルティスト3,スレイヤースキル１
オカルティスト4,スレイヤースキル１
オカルティスト5,スレイヤースキル１
オカルティスト6,スレイヤースキル１
オカルティスト7,スレイヤースキル１
オカルティスト8,スレイヤースキル１
切り裂き,単体、高命中、低威力、出血弱
流し斬り,ランダム、低命中、高威力
ラセレート,単体、中命中、低威力、出血中
裂空剣,前方３体、中命中、低威力、出血弱
ブレードダンス,ランダム連続攻撃、中命中、低威力
マタドール,自分に命中/回避バフ、挑発バフ
グラディエーター7,スレイヤースキル１
グラディエーター8,スレイヤースキル１
風刃,単体、中命中、低威力　魔法
闇刃,HPが少ない敵、高命中、低威力
影縛,HPが少ない敵、中命中、中威力、麻痺付与
豪炎,敵前列、低命中、高威力　魔法
暗殺,HPが少ない敵、２連、中命中、中威力　クリティカル率大
葉隠,自分、隠密状態付与
シノビ7,スレイヤースキル１
シノビ8,スレイヤースキル１
切断,敵単体、中命中、低威力
リープスラム,敵ランダム、低命中、高威力敵ランダム、低命中、高威力
狂い切り,敵前列、中命中、低威力 HP消費
ブラッドブレード,単体、中命中、中威力 HP吸収
トリプルストライク,ランダム単体３連、低命中、高威力
ベルセルク,自分、与ダメバフ、被ダメデバフ付与
バーサーカー7,スレイヤースキル１
バーサーカー8,スレイヤースキル１
トリックスター1,スレイヤースキル１
トリックスター2,スレイヤースキル１
トリックスター3,スレイヤースキル１
トリックスター4,スレイヤースキル１
トリックスター5,スレイヤースキル１
トリックスター6,スレイヤースキル１
トリックスター7,スレイヤースキル１
トリックスター8,スレイヤースキル１
ミスティック1,スレイヤースキル１
ミスティック2,スレイヤースキル１
ミスティック3,スレイヤースキル１
ミスティック4,スレイヤースキル１
ミスティック5,スレイヤースキル１
ミスティック6,スレイヤースキル１
ミスティック7,スレイヤースキル１
ミスティック8,スレイヤースキル１
ショット,敵単体、高命中、低威力
毒薬の瓶,敵単体、中命中　猛毒
治癒の軟膏,味方単体、HP回復小
ファストトラベル,味方全体、CT解消 弱
トキシックレイン,敵全体、中命中、猛毒
妖の香,敵全体、高命中、回避低下
パスファ７,スレイヤースキル１
パスファ８,スレイヤースキル１
●敵スキル,タンク雑魚攻撃
タンク雑魚攻撃,タンク雑魚攻撃
タンク雑魚バフ,タンク雑魚バフ
雑魚弱攻撃,雑魚単体
雑魚強攻撃,スレイヤースキル１
戦士単体,スレイヤースキル１
戦士前列範囲,スレイヤースキル１
虫毒攻撃,スレイヤースキル１
虫毒全体,スレイヤースキル１
後衛ランダム,スレイヤースキル１
後衛集中攻撃,スレイヤースキル１
鳥単体魔法,スレイヤースキル１
鳥範囲魔法,スレイヤースキル１
中ボス単体,スレイヤースキル１
中ボス異常付き攻撃,スレイヤースキル１
中ボス範囲攻撃,スレイヤースキル１
中ボス自己バフ,スレイヤースキル１
エリアボス単連打,スレイヤースキル１
エリアボス全体,スレイヤースキル１
エリアボスターゲット,スレイヤースキル１
エリアボス全体乱打,
New,スレイヤースキル１
New,スレイヤースキル１
New,スレイヤースキル１
なし,
なし,
